pool	chain	project	symbol	tvl	apyBase	apyReward	apy	cnt	outlier	cls	prob	corr.apy.tvl	corr.apy.tvl.ma30
a349fea4-d780-4e16-973e-70ca9b606db2	Ethereum	aave-v2	USDC	1257883277	0.24215	0.0	0.24215	209	False	Stable/Up	81.0	-0.8106868531219581	-0.944525332223928
cefa9bb8-c230-459a-a855-3b94e96acd8c	Ethereum	compound	cUSDC	996195052	0.58179	0.37552	0.95731	209	False	Stable/Up	72.0	0.8450862581727574	0.7538008179714493
cc110152-36c2-4e10-9c12-c5b4eb662143	Ethereum	compound	cDAI	736257444	0.88256	0.52502	1.40758	209	False	Stable/Up	80.0	0.8196749622516529	-0.7585278559049302
fa2f8727-4234-4394-ae55-588d97307b34	Tron	justlend	USDC	441227189	1.84805	0.03377	1.88183	63	False	Down	52.0	-0.9910595536143317	-0.9904108005590602
57647093-2868-4e65-97ab-9cae8ec74e7d	Ethereum	compound	cUSDT	396962043	2.02653	0.13411	2.16063	209	False	Stable/Up	67.0	0.38375905055711856	-0.9390889609696664
c4b05318-88af-4536-a834-f5fc8940d2d3	Avalanche	aave-v3	USDC	383943562	1.06803	0.86805	1.93608	31	False	Stable/Up	90.0	0.6654856150428763	0.6432137081908265
60d657c9-5f63-4771-a85b-2cf8d507ec00	Ethereum	aave-v2	USDT	229005267	1.25933	0.0	1.25933	209	False	Stable/Up	80.0	-0.7544306872033454	-0.8037503451354351
53b3663f-9096-49df-8787-f6ea3b6d0612	Tron	justlend	USDD	199042601	0.47594	9.31364	9.78958	63	False	Stable/Up	75.0	-0.9799857928757558	-0.9972731279831687
405d8dad-5c99-4c91-90d3-82813ade1ff1	Ethereum	aave-v2	DAI	175785389	0.90529	0.0	0.90529	209	False	Stable/Up	84.0	-0.21315551936393556	-0.9783022398676715
24762515-822a-46af-927c-77a1dc449bd0	Optimism	aave-v3	USDC	157416775	2.45286	0.76278	3.21564	31	False	Stable/Up	83.0	0.03603272648865445	0.010193459640273418
22b4985a-d97b-40a4-ae97-37f9351a9d91	Tron	justlend	USDJ	138677820	0.01813	0.74597	0.7641	63	False	Stable/Up	90.0	-0.08571325080670823	-0.9960188849672921
535daca1-b457-48be-b93f-82b7a7fa1e0a	Tron	justlend	TUSD	136528189	0.18039	0.99335	1.17374	63	False	Stable/Up	78.0	-0.35345541064197855	-0.9942995592537934
5f2e32ac-fa1a-468f-98f5-ef5a8f5b07f3	Binance	alpaca-finance	BUSD	94584840	1.81154	0.0	1.81154	119	False	Stable/Up	65.0	-0.09010396357962616	-0.8315511235561646
9f3a6015-5045-4471-ba65-ad3dc7c38269	Binance	venus	USDT	93140637	0.8888	0.30684	1.19564	64	False	Stable/Up	82.0	-0.9692739438874045	-0.9714146481488567
